month,hiking_likes,fishing_likes,cycling_likes,easy_trails,moderate_trails,challenging_trails,food_likes,lodging_likes,health_fitness_likes,waterside_likes,natural_landmark_likes,animals_likes,meadow_likes,outdoor_activity_likes
1,3291,231,803,1249,1023,681,3921,382,573,192,829,758,362,1209
2,5728,408,942,2028,1238,823,3291,438,577,152,1291,818,672,3029
3,7201,443,1032,2810,1392,933,2983,524,241,123,1492,726,683,4929
4,7382,692,1201,4012,2391,1291,3002,124,687,126,1672,892,728,5929
5,15820,921,3921,9201,3109,1328,3920,251,723,352,2810,1402,1021,5263
6,16092,951,4029,12938,3121,1392,4302,567,1293,762,3928,1309,981,5634
7,18273,1102,7129,15902,5921,1432,7210,837,1425,1293,3782,1890,728,6271
8,18923,1423,9291,16059,5582,1120,5930,1829,1572,1928,4928,2192,1392,8172
9,18111,1531,8219,16928,4238,1201,4302,1688,1827,1728,5827,2934,1402,7394
10,23912,1682,9238,19382,4623,1039,12039,1728,1241,1452,6892,3129,892,8329
11,3401,712,1921,2910,1021,901,5720,1208,782,910,890,2931,582,3928
12,4912,102,349,3482,901,341,7821,1392,562,627,1029,890,462,5920
