,month,CounterID_ASTA,latlong,Visits
0,1,149,"(60.30899379656252, 24.513516131752663)",2996
1,1,912,"(60.326924542956334, 24.495358359272675)",1153
2,1,922,"(60.33073081360451, 24.492838046488888)",336
3,1,1043,"(60.303525451006834, 24.550391008969527)",417
4,1,1050,"(60.27581963490531, 24.463689284278516)",379
5,2,149,"(60.30899379656252, 24.513516131752663)",5229
6,2,912,"(60.326924542956334, 24.495358359272675)",1440
7,2,922,"(60.33073081360451, 24.492838046488888)",408
8,2,1043,"(60.303525451006834, 24.550391008969527)",463
9,2,1050,"(60.27581963490531, 24.463689284278516)",511
10,2,1122,"(60.24969716104745, 24.698307563459544)",128
11,3,149,"(60.30899379656252, 24.513516131752663)",9030
12,3,871,"(60.31295694299057, 24.447281862291263)",354
13,3,912,"(60.326924542956334, 24.495358359272675)",35
14,3,922,"(60.33073081360451, 24.492838046488888)",610
15,3,1043,"(60.303525451006834, 24.550391008969527)",610
16,3,1050,"(60.27581963490531, 24.463689284278516)",573
17,3,1122,"(60.24969716104745, 24.698307563459544)",642
18,4,149,"(60.30899379656252, 24.513516131752663)",8421
19,4,871,"(60.31295694299057, 24.447281862291263)",511
20,4,922,"(60.33073081360451, 24.492838046488888)",1127
21,4,1043,"(60.303525451006834, 24.550391008969527)",1648
22,4,1050,"(60.27581963490531, 24.463689284278516)",721
23,4,1122,"(60.24969716104745, 24.698307563459544)",795
24,5,149,"(60.30899379656252, 24.513516131752663)",13207
25,5,871,"(60.31295694299057, 24.447281862291263)",599
26,5,912,"(60.326924542956334, 24.495358359272675)",927
27,5,922,"(60.33073081360451, 24.492838046488888)",1554
28,5,1043,"(60.303525451006834, 24.550391008969527)",2259
29,5,1050,"(60.27581963490531, 24.463689284278516)",1065
30,5,1122,"(60.24969716104745, 24.698307563459544)",1126
31,6,149,"(60.30899379656252, 24.513516131752663)",12873
32,6,871,"(60.31295694299057, 24.447281862291263)",503
33,6,912,"(60.326924542956334, 24.495358359272675)",2211
34,6,922,"(60.33073081360451, 24.492838046488888)",1118
35,6,1043,"(60.303525451006834, 24.550391008969527)",2214
36,6,1050,"(60.27581963490531, 24.463689284278516)",872
37,6,1122,"(60.24969716104745, 24.698307563459544)",669
38,7,149,"(60.30899379656252, 24.513516131752663)",18087
39,7,871,"(60.31295694299057, 24.447281862291263)",1341
40,7,912,"(60.326924542956334, 24.495358359272675)",2731
41,7,1043,"(60.303525451006834, 24.550391008969527)",2199
42,7,1050,"(60.27581963490531, 24.463689284278516)",1044
43,7,1122,"(60.24969716104745, 24.698307563459544)",832
44,8,149,"(60.30899379656252, 24.513516131752663)",18461
45,8,871,"(60.31295694299057, 24.447281862291263)",630
46,8,912,"(60.326924542956334, 24.495358359272675)",3030
47,8,1043,"(60.303525451006834, 24.550391008969527)",2460
48,8,1050,"(60.27581963490531, 24.463689284278516)",1662
49,8,1122,"(60.24969716104745, 24.698307563459544)",521
50,9,149,"(60.30899379656252, 24.513516131752663)",15184
51,9,871,"(60.31295694299057, 24.447281862291263)",857
52,9,912,"(60.326924542956334, 24.495358359272675)",3744
53,9,922,"(60.33073081360451, 24.492838046488888)",332
54,9,1043,"(60.303525451006834, 24.550391008969527)",3026
55,9,1050,"(60.27581963490531, 24.463689284278516)",1221
56,9,1122,"(60.24969716104745, 24.698307563459544)",646
57,10,149,"(60.30899379656252, 24.513516131752663)",19183
58,10,871,"(60.31295694299057, 24.447281862291263)",1108
59,10,912,"(60.326924542956334, 24.495358359272675)",7718
60,10,922,"(60.33073081360451, 24.492838046488888)",847
61,10,1043,"(60.303525451006834, 24.550391008969527)",2769
62,10,1050,"(60.27581963490531, 24.463689284278516)",1104
63,10,1122,"(60.24969716104745, 24.698307563459544)",1016
64,11,149,"(60.30899379656252, 24.513516131752663)",547
65,11,871,"(60.31295694299057, 24.447281862291263)",350
66,11,912,"(60.326924542956334, 24.495358359272675)",2666
67,11,922,"(60.33073081360451, 24.492838046488888)",314
68,11,1043,"(60.303525451006834, 24.550391008969527)",869
69,11,1050,"(60.27581963490531, 24.463689284278516)",603
70,11,1122,"(60.24969716104745, 24.698307563459544)",593
71,12,149,"(60.30899379656252, 24.513516131752663)",5765
72,12,871,"(60.31295694299057, 24.447281862291263)",639
73,12,912,"(60.326924542956334, 24.495358359272675)",1094
74,12,922,"(60.33073081360451, 24.492838046488888)",244
75,12,1043,"(60.303525451006834, 24.550391008969527)",588
76,12,1050,"(60.27581963490531, 24.463689284278516)",501
77,12,1122,"(60.24969716104745, 24.698307563459544)",735
